id;project_id;objet_id;createdBy_id;assignedTo_id;status;priority;devType;title;description;dueDate;createdAt;updatedAt;chiffrage;complexite;priorite;module;wricef;chiffrageJustification
tk1;p1;obj1;u4;u3;IN_PROGRESS;HIGH;Formulaire;Migration des données maîtres MM;Développer le programme de migration des données maîtres articles (MM) depuis ECC vers S/4HANA.;2026-03-15;2026-01-15T09:00:00Z;2026-02-20T14:30:00Z;5;Complexe;1;MM;SAPS-MM001-001;
tk2;p1;obj2;u4;u5;WAITING_FEEDBACK;MEDIUM;Report;Rapport de contrôle des factures;Créer un rapport de contrôle automatisé pour vérification des factures fournisseurs.;2026-02-28;2026-01-18T11:00:00Z;2026-02-18T16:00:00Z;3;Moyen;2;MM;SAPS-MM002-001;
tk3;p2;obj3;u4;u3;IN_PROGRESS;HIGH;Enhancement;Tuile Fiori pour approbation PO;Créer une tuile Fiori Launchpad pour le processus d'approbation des commandes d'achat.;2026-04-10;2026-01-20T10:00:00Z;2026-02-19T09:00:00Z;8;Complexe;1;FI;FIOR-FI001-001;
tk4;p3;obj5;u4;u3;OPEN;CRITICAL;Programme;CDS View Extraction GL;Développer les CDS Views pour l'extraction des données GL vers la plateforme BI.;2026-03-30;2026-02-01T08:00:00Z;;4;Moyen;0;FI;BIRP-FI001-001;
tk5;p2;obj4;u4;u5;IN_PROGRESS;MEDIUM;Formulaire;Page Fiori My Inbox améliorée;Améliorer la page My Inbox avec filtres avancés et vue compacte pour les approbations.;2026-03-31;2026-02-05T14:00:00Z;2026-02-22T11:00:00Z;6;Complexe;2;BC;FIOR-BC001-001;
tk6;p1;obj1;u2;u3;RESOLVED;HIGH;Enhancement;Conversion unités de mesure;Développer le module de conversion des unités de mesure pour la migration S/4HANA.;2026-02-20;2026-01-10T08:00:00Z;2026-02-15T10:00:00Z;2;Simple;2;MM;SAPS-MM001-002;
tk7;p1;obj1b;u4;u3;IN_PROGRESS;CRITICAL;Enhancement;Batch Input modification prix;Programme batch pour mise à jour massive des prix articles dans S/4HANA.;2026-03-05;2026-01-22T09:00:00Z;2026-02-21T15:00:00Z;7;Complexe;0;MM;SAPS-MM003-001;
tk8;p1;obj1c;u2;u5;OPEN;MEDIUM;Report;État stock valorisé multi-sociétés;Rapport stock valorisé consolidant les données de plusieurs sociétés.;2026-03-20;2026-01-25T10:00:00Z;;4;Moyen;2;MM;SAPS-MM004-001;
tk9;p2;obj3b;u4;u3;RESOLVED;HIGH;Formulaire;Formulaire saisie congés Fiori;Formulaire Fiori de saisie des demandes de congés avec validation hiérarchique.;2026-02-28;2026-01-28T09:00:00Z;2026-02-22T16:00:00Z;3;Simple;1;HR;FIOR-HR001-001;
tk10;p2;obj3c;u4;u5;IN_PROGRESS;MEDIUM;Enhancement;Extension launchpad rôle manager;Extension du Fiori Launchpad pour le rôle manager avec tuiles spécifiques.;2026-04-15;2026-02-03T11:00:00Z;2026-02-20T10:00:00Z;5;Complexe;2;BC;FIOR-BC002-001;
tk11;p3;obj5b;u2;u5;IN_PROGRESS;HIGH;Programme;KPI Dashboard temps réel;Dashboard de KPIs avec rafraîchissement temps réel depuis BW/4HANA.;2026-03-25;2026-02-05T08:00:00Z;2026-02-22T14:00:00Z;10;Très Complexe;1;CO;BIRP-CO001-001;
tk12;p3;obj5c;u2;u3;WAITING_FEEDBACK;MEDIUM;Report;Extraction données RH pour BI;Rapport d'extraction des données RH pour intégration BI.;2026-03-10;2026-02-07T10:00:00Z;2026-02-19T11:00:00Z;3;Moyen;2;HR;BIRP-HR001-001;
tk13;p1;obj1d;u4;u5;OPEN;LOW;Report;Rapport anomalies migration;Rapport de suivi des anomalies détectées pendant la migration.;2026-04-30;2026-02-10T09:00:00Z;;2;Simple;3;MM;SAPS-MM005-001;
tk14;p2;obj3d;u4;u3;IN_PROGRESS;HIGH;Enhancement;Notification push workflow;Notifications push pour les workflows d'approbation dans le Fiori Launchpad.;2026-03-20;2026-02-01T10:00:00Z;2026-02-21T09:00:00Z;6;Complexe;1;BC;FIOR-BC003-001;
tk15;p2;obj3e;u4;u5;WAITING_FEEDBACK;MEDIUM;Formulaire;Formulaire évaluation fournisseur;Formulaire d'évaluation des fournisseurs dans le Fiori Launchpad.;2026-03-15;2026-02-04T14:00:00Z;2026-02-20T16:00:00Z;4;Moyen;2;MM;FIOR-MM001-001;
tk16;p3;obj5d;u2;u3;IN_PROGRESS;CRITICAL;Programme;Pipeline ETL données ventes;Pipeline ETL complet pour l'extraction et transformation des données SD.;2026-03-15;2026-02-08T08:00:00Z;2026-02-22T10:00:00Z;12;Très Complexe;0;SD;BIRP-SD001-001;
tk17;p1;obj1e;u2;u7;OPEN;MEDIUM;Enhancement;Interface IDocs partenaires;Développement interface IDocs pour échange de données avec partenaires.;2026-04-15;2026-02-12T10:00:00Z;;5;Complexe;2;SD;SAPS-SD001-001;
tk18;p3;obj5e;u4;u7;IN_PROGRESS;HIGH;Report;Rapport consolidation mensuelle;Rapport de consolidation mensuelle avec données FI multi-sociétés.;2026-03-20;2026-02-06T09:00:00Z;2026-02-21T14:00:00Z;6;Complexe;1;FI;BIRP-FI002-001;
tk19;p1;obj2;u4;u7;RESOLVED;MEDIUM;Programme;Job batch purge données temporaires;Job batch planifié pour purge automatique des données temporaires de migration.;2026-02-25;2026-01-20T11:00:00Z;2026-02-18T15:00:00Z;3;Moyen;2;BC;SAPS-BC001-001;
tk20;p2;obj4;u2;u3;IN_PROGRESS;HIGH;Enhancement;Intégration SAP Build Work Zone;Intégration complète du Launchpad dans SAP Build Work Zone.;2026-04-01;2026-02-10T08:00:00Z;2026-02-22T09:00:00Z;8;Très Complexe;1;BC;FIOR-BC004-001;
tk21;p3;obj5f;u2;u5;CLOSED;HIGH;Report;Drill-down centres de coûts;Rapport drill-down hiérarchique des centres de coûts.;2026-02-15;2026-01-28T08:00:00Z;2026-02-12T17:00:00Z;4;Complexe;1;CO;BIRP-CO002-001;
tk22;p3;obj5c;u4;u7;CLOSED;HIGH;Programme;Pipeline données temps réel SLT;Pipeline de réplication temps réel via SLT pour données analytiques.;2026-02-20;2026-02-01T09:00:00Z;2026-02-18T16:00:00Z;5;Complexe;1;BC;BIRP-BC001-001;
tk23;p3;obj5b;u2;u5;IN_PROGRESS;MEDIUM;Enhancement;Sauvegarde filtres dashboard;Fonctionnalité de sauvegarde et partage des filtres de dashboard.;2026-03-28;2026-02-15T10:00:00Z;2026-02-23T11:00:00Z;2;Simple;2;CO;BIRP-CO003-001;
tk24;p3;obj5d;u4;u3;RESOLVED;MEDIUM;Enhancement;Export Excel multi-rapports;Fonctionnalité d'export Excel pour tous les rapports de la plateforme BI.;2026-03-05;2026-02-10T09:00:00Z;2026-02-21T15:00:00Z;2;Simple;2;SD;BIRP-SD002-001;
tk25;p1;obj1b;u2;u7;OPEN;LOW;Report;Tableau de bord suivi migration;Dashboard de suivi global de la progression de la migration.;2026-05-01;2026-02-18T10:00:00Z;;3;Moyen;3;MM;SAPS-MM006-001;
tk26;p3;obj5e;u2;u3;CLOSED;HIGH;Report;Analyse écarts P&L budget/réel;Rapport d'analyse des écarts entre budget et réel sur le P&L.;2026-02-15;2026-01-30T08:00:00Z;2026-02-13T17:00:00Z;4;Complexe;1;FI;BIRP-FI003-001;
tk27;p2;obj3b;u4;u5;OPEN;LOW;Formulaire;Formulaire note de frais simplifié;Formulaire simplifié de saisie des notes de frais dans Fiori.;2026-04-20;2026-02-17T14:00:00Z;;2;Simple;3;HR;FIOR-HR002-001;
