id;consultant_id;ticket_id;project_id;date;hours;description;sentToStraTIME;sentAt
ws1;u3;tk3;p2;2026-02-10;4;Backend OData service pour tuile approbation PO;true;2026-02-10T18:00:00Z
ws2;u3;tk3;p2;2026-02-14;3.5;UI5 frontend tuile avec statuts visuels;true;2026-02-14T18:00:00Z
ws3;u3;tk3;p2;2026-02-19;2;Tests intégration avec workflow SAP;false;
ws4;u5;tk2;p1;2026-02-12;3;Requête ALV rapport contrôle factures;true;2026-02-12T18:00:00Z
ws5;u5;tk2;p1;2026-02-17;2.5;Formatage et totaux rapport factures;true;2026-02-17T18:00:00Z
ws5b;u5;tk2;p1;2026-02-18;1.5;Corrections mineures et envoi pour validation;false;
ws6;u3;tk1;p1;2026-02-03;4;Mapping champs ECC → S/4HANA pour articles;true;2026-02-03T18:00:00Z
ws9;u3;tk1;p1;2026-02-19;3.5;Programme ABAP extraction données maîtres;false;
ws7;u5;tk5;p2;2026-02-10;3;Layout page My Inbox avec composants Fiori;true;2026-02-10T18:00:00Z
ws10;u5;tk5;p2;2026-02-20;2.5;Filtres avancés et barre de recherche;false;
ws10b;u5;tk5;p2;2026-02-22;2;Tests composant filtres et corrections responsive;false;
ws8;u3;tk6;p1;2026-02-13;2;Module conversion UoM — développement et tests;true;2026-02-13T18:00:00Z
ws11;u3;tk7;p1;2026-02-05;4;Analyse structure batch input et mapping champs prix;true;2026-02-05T18:00:00Z
ws11b;u3;tk7;p1;2026-02-21;3;Programme batch input — traitement erreurs et logs;false;
ws12;u5;tk8;p1;2026-02-07;2;Analyse requirements rapport stock multi-sociétés;true;2026-02-07T18:00:00Z
ws13;u5;tk8;p1;2026-02-14;3;Prototype requête ALV multi-sociétés;true;2026-02-14T18:00:00Z
ws14;u3;tk9;p2;2026-02-07;2;Analyse requirements formulaire congés Fiori;true;2026-02-07T18:00:00Z
ws15;u3;tk9;p2;2026-02-14;3;Développement formulaire avec validation hiérarchique;true;2026-02-14T18:00:00Z
ws16;u3;tk9;p2;2026-02-20;1.5;Tests et corrections finales formulaire congés;true;2026-02-20T18:00:00Z
ws17;u5;tk10;p2;2026-02-10;2.5;Configuration tuiles KPI rôle manager;true;2026-02-10T18:00:00Z
ws18;u5;tk10;p2;2026-02-18;3;Intégration données temps réel pour tuiles manager;false;
ws19;u5;tk11;p3;2026-02-10;4;Architecture KPI dashboard et modèle données;true;2026-02-10T18:00:00Z
ws20;u5;tk11;p3;2026-02-17;3.5;Composants graphiques et widgets KPI;true;2026-02-17T18:00:00Z
ws21;u5;tk11;p3;2026-02-22;3;Rafraîchissement auto et gestion cache;false;
ws22;u3;tk12;p3;2026-02-12;3;Query extraction données RH vers BW;true;2026-02-12T18:00:00Z
ws23;u3;tk12;p3;2026-02-19;2;Transformation données et mapping champs BI;false;
ws24;u3;tk14;p2;2026-02-10;3;Architecture notification push via BTP;true;2026-02-10T18:00:00Z
